Accreditation code,Power station name,State,Postcode,Installed capacity (MW),Fuel Source (s),Accreditation start date,Approval date
SRPXNSP1,Woolworths Forster 1177 - Solar - NSW,NSW,2428,0.326,Solar,23/10/2023,5/01/2024
SRPVNT76,Woolworths Leanyer 5659 - Solar - NT,NT,0812,0.220,Solar,25/09/2023,5/01/2024
SRPVSAU7,Woolworths Mt Barker South 5098 - Solar - SA,SA,5251,0.237,Solar,23/10/2023,5/01/2024
SRPXQL52,Woolworths Sandgate 2605 - Solar - QLD,QLD,4017,0.271,Solar,28/09/2023,5/01/2024
SRPXQL57,Bunnings Hervey Bay - Solar - QLD,QLD,4655,0.500,Solar,19/10/2023,9/01/2024
SRPXVCC5,OLERS-Village Dairy-Solar-VIC,VIC,3844,0.300,Solar,1/05/2023,9/01/2024
SRPXQL64,Vaxxas Hamilton - Solar w SGU - QLD,QLD,4007,0.198,Solar,1/11/2023,9/01/2024
SRPXQL43,19th Avenue Shopping Centre Elanora - Solar w SGU - QLD,QLD,4221,0.250,Solar,13/09/2023,10/01/2024
SRPVSAV2,Woolworths Naracoorte 5602 - Solar - SA,SA,5271,0.275,Solar,17/11/2023,10/01/2024
SRPXQL63,115 Frederick Street - Solar - QLD,QLD,4013,0.292,Solar,2/11/2023,17/01/2024
SRPXNSI5,AU058 - Bungaribee Industrial Estate - Metcash - Solar - NSW,NSW,2766,0.782,Solar,8/06/2023,17/01/2024
SRPXNSQ4,AU169 GOOD107 Goodman Oakdale West 2A - Solar - NSW,NSW,2178,0.750,Solar,28/11/2023,17/01/2024
SRPXVCI9,AU729 Chifley BP 5ChifleyDr - Solar - VIC,VIC,3194,0.249,Solar,21/12/2023,17/01/2024
SRPXNSN6,Bathurst - Solar -NSW,NSW,2795,0.664,Solar,26/09/2023,17/01/2024
SRPXNSM2,Bingo MPC2 - Solar - NSW,NSW,2766,1.049,Solar,5/09/2023,17/01/2024
SRPVNT73,CCEP Darwin - Solar - NT,NT,0822,0.266,Solar,13/02/2023,17/01/2024
SRPXVCJ0,AU729 Chifley BP 3Federation - Solar - VIC,VIC,3194,0.156,Solar,21/12/2023,19/01/2024
SRPVWAJ2,Cue -Renewable Energy Facility-Solar -WA,WA,6640,0.259,Solar,3/11/2023,24/01/2024
SRPXNSN4,Dimmar Pendle Hill - Solar w SGU - NSW,NSW,2145,0.193,Solar,25/09/2023,24/01/2024
